top row,Structure,Chemical Name,Minimum % Purity,Catalog Number,Structural Formula,Formula Weight,Availability,Price USD 10mg,Price USD 100mg,Price USD 250mg,Price USD    1g,Price USD    5g,Price USD    20g,Price USD    50g
156,,Sorafenib,97,FS200055,C21H16ClF3N4O3,464.83487,In Stock,195,695,1295,,,,
185,,"1,4-Dithia-8-aza-spiro[4.5]decane hydrochloride",95,FS001685,C7H14ClNS2,211.77733,In Stock,75,95,195,495,995,1995,
191,,"4,5-Dimethyl-1H-imidazole",95,FS001691,C5H8N2,96.13291,In Stock,95,195,395,895,2995,4995,
256,,Oseltamivir phosphate,97,FS200142,C16H31N2O8P,410.40787,In Stock,,,,800,,,
266,,Ramelteon,97,FS200152,C16H21NO2,259.35127,In Stock,950,,,,,,
275,,Taltirelin,97,FS200161,C17H23N7O5,405.41676,In Stock,95,195,395,1195,,,
395,,MODAFINIL,95,FS200043,C15H15NO2S,273.3563,In Stock,,295,695,1195,3990,5990,
405,,MITOXANTRONE HCl,95,FS200042,C22H29ClN4O6,480.95263,In Stock,195,595,695,850,,,
461,,"2-Phenoxymethyl-[1,3]dioxolane",95,FS000461,C10H12O3,180.20534,In Stock,,,,95,315,970,
462,,"2-(4-Bromo-phenoxymethyl)-[1,3]dioxolane",95,FS000462,C10H11BrO3,259.10137,In Stock,,,,95,450,1750,
463,,"2-(3-Bromo-phenoxymethyl)-[1,3]dioxolane",95,FS000463,C10H11BrO3,259.10137,In Stock,,,,95,450,1750,
464,,"2-(2-Bromo-phenoxymethyl)-[1,3]dioxolane",95,FS000464,C10H11BrO3,259.10137,In Stock,,,,95,450,1750,
465,,"2-(4-Methyl-phenoxymethyl)-[1,3]dioxolane",95,FS000465,C11H14O3,194.23243,In Stock,,,,95,450,1750,
466,,"2-m-Tolyloxymethyl-[1,3]dioxolane",95,FS000466,C11H14O3,194.23243,In Stock,,,,95,450,1750,2800
467,,"2-(2-Methyl-phenoxymethyl)-[1,3]dioxolane",95,FS000467,C11H14O3,194.23243,In Stock,,,,95,450,1750,
468,,"2-(4-Fluoro-phenoxymethyl)-[1,3]dioxolane",95,FS000468,C10H11FO3,198.19577,In Stock,,,,95,450,1750,
469,,"2-(3-Fluoro-phenoxymethyl)-[1,3]dioxolane",95,FS000469,C10H11FO3,198.19577,In Stock,,,,95,450,1750,
470,,"2-(2-Fluoro-phenoxymethyl)-[1,3]dioxolane",95,FS000470,C10H11FO3,198.19577,In Stock,,,,95,450,1750,
471,,"2-([1,3]Dioxolan-2-ylmethoxy)-benzaldehyde",95,FS000471,C11H12O4,208.21589,In Stock,,,,95,450,1750,
472,,"3-([1,3]Dioxolan-2-ylmethoxy)-benzaldehyde",95,FS000472,C11H12O4,208.21589,In Stock,,,,95,450,1750,
473,,"2-(4-Nitro-phenoxymethyl)-[1,3]dioxolane",95,FS000473,C10H11NO5,225.20287,In Stock,,,,95,450,1750,
474,,"2-(3-Methoxy-phenoxymethyl)-[1,3]dioxolane",95,FS000474,C11H14O4,210.23183,In Stock,,,,95,450,1750,
476,,"Ethyl-3-([1,3]dioxolan-2-ylmethoxy)-benzoate",95,FS000476,C13H16O5,252.26947,In Stock,,,,95,450,1750,
494,,"1-(2,2-Dimethoxy-ethoxy)-4-methyl-benzene",95,FS000512,C11H16O3,196.24837,In Stock,,,,950,1350,2250,3600
499,,"Piperazin-1-yl-[4-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-phenyl]-methanone",95,FS000517,C17H25BN2O3,316.2114,In Stock,75,95,195,395,995,3295,
501,,"N-(2,2-Dimethoxy-ethyl)-4-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-benzamide",95,FS000519,C17H26BNO5,335.21147,In Stock,,,95,165,515,2015,
512,,"[3-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-phenoxy]-acetic acid ethyl ester",95,FS000530,C16H23BO5,306.16971,In Stock,75,145,295,495,1995,,
513,,"2-[3-([1,3]Dioxolan-2-ylmethoxy)-phenyl]-4,4,5,5-tetramethyl-[1,3,2]dioxaborolane",95,FS000531,C16H23BO5,306.16971,In Stock,75,95,145,295,995,2495,
520,,"[4-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-pyrazol-1-yl]-acetic acid ethyl ester",95,FS000538,C13H21BN2O4,280.13432,In Stock,,,,495,1995,2995,
521,,"1-[1,3]Dioxolan-2-ylmethyl-4-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-1H-pyrazole",95,FS000539,C13H21BN2O4,280.13432,In Stock,80,95,145,395,1495,3995,
522,,"4-{2-[4-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-pyrazol-1-yl]-ethyl}-morpholine",95,FS000540,C15H26BN3O3,307.20377,In Stock,75,95,195,495,2195,3495,
523,,"4-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-1-thiophen-2-ylmethyl-1H-pyrazole",95,FS000541,C14H19BN2O2S,290.19473,In Stock,95,195,295,495,1995,3495,
526,,"3-[4-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-pyrazol-1-ylmethyl]-pyridine",95,FS000544,C15H20BN3O2,285.15655,In Stock,95,195,395,950,1995,3495,
527,,"2-[4-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-pyrazol-1-ylmethyl]-pyridine",95,FS000545,C15H20BN3O2,285.15655,In Stock,95,195,295,495,1995,3995,
