id	name
CHEBI:7	(+)-car-3-ene
CHEBI:20	(1R,4S)-camphene
CHEBI:28	(R)-linalool
CHEBI:40	(+)-pinoresinol
CHEBI:89	(1S,4R)-camphene
CHEBI:98	(S)-linalool
CHEBI:100	(-)-medicarpin
CHEBI:128	(S)-alpha-terpineol
CHEBI:129	(-)-beta-phellandrene
CHEBI:149	(1R,2R,4R)-dihydrocarveol
CHEBI:150	(1R,2R,4S)-isodihydrocarveol
CHEBI:152	(1R,2S,4R)-neodihydrocarveol
CHEBI:153	(1R,2S,4S)-neoisodihydrocarveol
CHEBI:154	(1R,4R)-dihydrocarvone
CHEBI:155	(1R,4S)-isodihydrocarvone
CHEBI:158	(1S,2R,4S)-neodihydrocarveol
CHEBI:165	(1S,4R)-fenchone
CHEBI:166	(1S,4R)-isodihydrocarvone
CHEBI:168	(1S,4S)-dihydrocarvone
CHEBI:228	(4R,7R)-4-isopropenyl-7-methyloxepan-2-one
CHEBI:232	(1S,5S)-carveol
CHEBI:233	(4S,7R)-4-isopropenyl-7-methyloxepan-2-one
CHEBI:300	(R)-alpha-terpineol
CHEBI:685	1-organyl-2-acetyl-sn-glycero-3-phospholipid
CHEBI:732	5beta-dihydrocortisol
CHEBI:776	16alpha-hydroxyestrone
CHEBI:798	19-hydroxytestosterone
CHEBI:799	19-oxo-androst-4-ene-3,17-dione
CHEBI:920	2,4-dinitrotoluene
CHEBI:1109	3-methoxy-6-(all-trans-hexaprenyl)phenol
CHEBI:1156	2-hydroxyestrone
CHEBI:1178	(2S)-2-isopropylmalate
CHEBI:1233	3-(all-trans-octaprenyl)benzene-1,2-diol
CHEBI:1235	2-methoxy-6-(all-trans-octaprenyl)phenol
CHEBI:1294	(20R,22R)-20,22-dihydroxycholesterol
CHEBI:1387	3,4-dihydroxyphenylethyleneglycol
CHEBI:1617	4-hydroxy-3-all-trans-octaprenylbenzoate
CHEBI:1729	(-)-4'-desmethyl-deoxypodophyllotoxin
CHEBI:1800	2-methyl-4-chlorophenol
CHEBI:1883	4-hydroxystyrene
CHEBI:1949	4alpha-methyl-5alpha-cholesta-8,24-dien-3beta-ol
CHEBI:1958	5'-dehydroadenosine
CHEBI:2030	5-amino-4-imidazolecarboxyamide
CHEBI:2150	5beta-dihydrotestosterone
CHEBI:2179	D-fucose
CHEBI:2181	L-fucose
CHEBI:2220	a
CHEBI:2288	7alpha,12alpha-dihydroxy-5beta-cholestan-3-one
CHEBI:2290	7alpha-hydroxy-5beta-cholestan-3-one
CHEBI:2311	Oplophorus
CHEBI:2480	adenosylcob(III)inamide
CHEBI:2504	aflatoxin
